height,ts,gap_s,txs,counted_txs,bytes,fullness,fee_speck
594953,1787786526.001,6.000999927520752,0,0,0,0.000000,0
594954,1787786532.0,5.999000072479248,0,0,0,0.000000,0
594955,1787786538.0,6.0,0,0,0,0.000000,0
594956,1787786544.0,6.0,0,0,0,0.000000,0
594957,1787786550.0,6.0,0,0,0,0.000000,0
594958,1787786556.0,6.0,0,0,0,0.000000,0
594959,1787786562.0,6.0,0,0,0,0.000000,0
594960,1787786568.0,6.0,0,0,0,0.000000,0
594961,1787786574.001,6.000999927520752,0,0,0,0.000000,0
594962,1787786580.0,5.999000072479248,0,0,0,0.000000,0
594963,1787786586.0,6.0,0,0,0,0.000000,0
594964,1787786592.001,6.000999927520752,0,0,0,0.000000,0
594965,1787786598.0,5.999000072479248,0,0,0,0.000000,0
594966,1787786604.0,6.0,0,0,0,0.000000,0
594967,1787786610.001,6.000999927520752,0,0,0,0.000000,0
594968,1787786616.0,5.999000072479248,0,0,0,0.000000,0
594969,1787786622.0,6.0,0,0,0,0.000000,0
594970,1787786628.001,6.000999927520752,0,0,0,0.000000,0
594971,1787786634.0,5.999000072479248,0,0,0,0.000000,0
594972,1787786640.0,6.0,0,0,0,0.000000,0
594973,1787786646.0,6.0,0,0,0,0.000000,0
594974,1787786652.0,6.0,0,0,0,0.000000,0
594975,1787786658.0,6.0,0,0,0,0.000000,0
594976,1787786664.0,6.0,0,0,0,0.000000,0
594977,1787786670.0,6.0,0,0,0,0.000000,0
594978,1787786676.0,6.0,0,0,0,0.000000,0
594979,1787786682.001,6.000999927520752,0,0,0,0.000000,0
594980,1787786688.001,6.0,0,0,0,0.000000,0
594981,1787786694.001,6.0,0,0,0,0.000000,0
594982,1787786700.0,5.999000072479248,0,0,0,0.000000,0
594983,1787786706.0,6.0,0,0,0,0.000000,0
594984,1787786712.0,6.0,0,0,0,0.000000,0
594985,1787786718.0,6.0,0,0,0,0.000000,0
594986,1787786724.0,6.0,0,0,0,0.000000,0
594987,1787786730.0,6.0,0,0,0,0.000000,0
594988,1787786736.001,6.000999927520752,0,0,0,0.000000,0
594989,1787786742.0,5.999000072479248,0,0,0,0.000000,0
594990,1787786748.0,6.0,0,0,0,0.000000,0
594991,1787786754.001,6.000999927520752,0,0,0,0.000000,0
594992,1787786760.0,5.999000072479248,0,0,0,0.000000,0
594993,1787786766.001,6.000999927520752,0,0,0,0.000000,0
594994,1787786772.001,6.0,0,0,0,0.000000,0
594995,1787786778.0,5.999000072479248,0,0,0,0.000000,0
594996,1787786784.0,6.0,0,0,0,0.000000,0
594997,1787786790.0,6.0,0,0,0,0.000000,0
594998,1787786796.0,6.0,0,0,0,0.000000,0
594999,1787786802.001,6.000999927520752,0,0,0,0.000000,0
595000,1787786808.0,5.999000072479248,0,0,0,0.000000,0
595001,1787786814.001,6.000999927520752,0,0,0,0.000000,0
595002,1787786820.0,5.999000072479248,0,0,0,0.000000,0
595003,1787786826.001,6.000999927520752,0,0,0,0.000000,0
595004,1787786832.0,5.999000072479248,0,0,0,0.000000,0
595005,1787786838.0,6.0,0,0,0,0.000000,0
595006,1787786844.0,6.0,0,0,0,0.000000,0
595007,1787786850.001,6.000999927520752,0,0,0,0.000000,0
595008,1787786856.0,5.999000072479248,0,0,0,0.000000,0
595009,1787786862.001,6.000999927520752,0,0,0,0.000000,0
595010,1787786868.0,5.999000072479248,0,0,0,0.000000,0
595011,1787786874.0,6.0,0,0,0,0.000000,0
595012,1787786880.0,6.0,0,0,0,0.000000,0
595013,1787786886.001,6.000999927520752,0,0,0,0.000000,0
595014,1787786892.0,5.999000072479248,0,0,0,0.000000,0
595015,1787786898.001,6.000999927520752,0,0,0,0.000000,0
595016,1787786904.0,5.999000072479248,0,0,0,0.000000,0
595017,1787786910.0,6.0,0,0,0,0.000000,0
595018,1787786916.0,6.0,0,0,0,0.000000,0
595019,1787786922.0,6.0,1,1,641,0.003205,1
595020,1787786928.001,6.000999927520752,0,0,0,0.000000,0
595021,1787786934.0,5.999000072479248,0,0,0,0.000000,0
595022,1787786940.0,6.0,0,0,0,0.000000,0
595023,1787786946.001,6.000999927520752,0,0,0,0.000000,0
595024,1787786952.0,5.999000072479248,0,0,0,0.000000,0
595025,1787786958.0,6.0,0,0,0,0.000000,0
595026,1787786964.0,6.0,0,0,0,0.000000,0
